Co,O,Ni,Gd
772,5226,46,14617
852,5222,51,14618
927,5202,54,14646
1026,5226,62,14669
1106,5208,68,14677
1189,5207,66,14678
1293,5204,72,14680
1372,5217,72,14693
1456,5192,81,14691
1551,5187,85,14690
1633,5203,88,14697
1718,5193,90,14718
1808,5202,96,14733
1900,5200,106,14742
1982,5207,114,14752
2078,5202,123,14756
2167,5203,131,14761
2270,5298,138,14786
2199,5418,134,14794
2115,5629,125,14792
2030,5801,116,14785
1946,5991,108,14778
1863,6179,101,14781
1767,6382,92,14781
1680,6573,84,14784
1603,6754,76,14791
1509,6961,68,14819
1425,7160,59,14832
1347,7334,53,14840
1245,7551,44,14837
1164,7735,39,14822
1080,7922,36,14825
999,8115,29,14824
908,8321,22,14828
836,8516,16,14832
760,8698,13,14842
679,8909,15,14842
618,9106,15,14883
611,9148,15,14887
650,9002,14,14870
726,8910,13,14856
781,8813,11,14840
851,8727,9,14829
923,8619,7,14820
997,8535,5,14832
1074,8430,2,14829
1147,8336,0,14805
1213,8233,0,14796
1289,8138,0,14787
1361,8044,0,14773
1438,7960,0,14771
1505,7872,0,14767
1580,7783,0,14760
1660,7684,0,14749
1729,7599,0,14734
1796,7523,0,14744
1875,7414,0,14731
1943,7341,0,14722
1984,7266,0,14717
1914,7052,0,14701
1877,6900,0,14691
1840,6772,0,14690
1825,6610,0,14684
1806,6441,0,14669
1773,6335,0,14675
1750,6173,0,14666
1726,6011,0,14660
1712,5894,0,14650
1683,5763,0,14632
1661,5604,0,14602
1643,5463,0,14593
1623,5340,0,14580
1591,5196,0,14576
1569,5069,0,14568
1552,4939,0,14555
1529,4795,0,14559
1526,4658,0,14556
1499,4542,0,14542
1567,4469,0,14528
1524,4520,0,14539
1543,4628,0,14540
1566,4743,0,14544
1605,4859,0,14542
1635,4994,0,14568
1668,5122,0,14574
1702,5240,0,14586
1741,5372,0,14611
1776,5495,0,14622
1804,5627,0,14616
1842,5765,0,14596
1874,5892,0,14606
1918,6002,0,14627
1949,6127,0,14639
1984,6273,0,14652
2014,6382,0,14663
2049,6511,0,14663
2092,6664,0,14685
2142,6802,0,14704
2208,6970,0,14712
2201,7090,0,14718
2106,7208,0,14701
2026,7339,0,14683
1939,7464,0,14660
1836,7635,0,14656
1755,7763,0,14648
1665,7912,0,14639
1564,8066,0,14624
1476,8199,0,14616
1382,8339,3,14601
1284,8492,7,14565
1188,8638,10,14555
1113,8762,13,14546
1012,8952,15,14534
923,9066,18,14518
836,9220,20,14497
746,9348,24,14486
652,9518,28,14452
566,9656,30,14436
494,9822,34,14416
494,9898,34,14409
577,9703,31,14421
679,9551,30,14434
804,9339,24,14439
901,9183,23,14444
1006,9017,18,14442
1110,8872,15,14451
1230,8673,13,14463
1335,8514,11,14449
1443,8346,9,14444
1560,8155,5,14433
1663,8003,1,14443
1771,7848,0,14462
1901,7643,0,14483
2000,7491,0,14473
2109,7337,0,14473
2214,7171,0,14474
2336,7005,0,14474
2444,6846,0,14480
2554,6714,0,14474
2687,6660,0,14452
2639,6517,0,14461
2678,6448,0,14467
2732,6410,0,14466
2782,6375,0,14467
2831,6324,0,14453
2884,6284,0,14456
2949,6254,0,14473
3003,6219,0,14470
3050,6181,0,14478
3108,6144,0,14482
3165,6110,0,14489
3214,6075,0,14493
3281,6052,0,14474
3333,6018,0,14467
3384,5966,0,14481
3444,5946,0,14494
3506,5914,0,14507
3559,5890,0,14514
3612,5868,0,14528
3700,5889,0,14527
3672,5859,0,14532
3613,5828,0,14529
3546,5822,0,14520
3504,5820,0,14508
3456,5835,0,14506
3411,5827,6,14509
3351,5835,12,14525
3318,5840,16,14533
3262,5843,22,14533
3214,5856,30,14542
3173,5854,32,14556
3124,5851,38,14557
3065,5870,42,14562
3020,5858,48,14562
2977,5854,52,14566
2935,5869,57,14564
2882,5882,66,14582
2844,5887,73,14587
2801,5897,81,14590
2766,5940,85,14598
2792,5985,88,14595
2673,6009,84,14571
2555,6100,77,14546
2459,6187,70,14515
2359,6270,61,14488
2259,6364,54,14475
2144,6475,50,14456
2047,6580,44,14421
1941,6681,38,14395
1819,6771,36,14368
1732,6861,30,14349
1638,6980,26,14331
1516,7087,16,14297
1423,7178,14,14253
1325,7286,9,14248
1228,7387,3,14233
1113,7482,0,14209
1014,7584,0,14184
918,7690,0,14148
821,7806,0,14120
763,7926,0,14099
772,7794,0,14125
806,7660,0,14124
847,7550,0,14125
885,7438,0,14136
921,7342,0,14145
969,7206,0,14157
1006,7101,0,14174
1049,6976,0,14183
1100,6879,0,14181
