Co,Si,Pt,O,Ni,Gd,Al
436,0,942,0,653,1854,418
345,0,1066,0,656,1927,319
246,0,1206,0,668,1990,210
161,0,1336,0,677,2053,110
73,0,1473,0,695,2122,9
75,0,1377,0,663,2201,0
105,0,1203,0,618,2285,11
137,0,1047,0,584,2357,21
172,0,870,0,546,2444,35
206,0,703,0,507,2532,48
238,0,546,0,471,2618,59
271,0,380,0,440,2690,76
296,0,222,0,409,2777,88
342,0,64,0,378,2858,100
379,0,0,0,376,2916,109
415,0,0,0,357,2921,179
449,0,0,0,346,2931,247
486,0,0,0,333,2932,309
521,0,0,0,323,2932,377
556,0,0,0,307,2943,447
590,0,0,0,301,2945,509
624,0,0,0,294,2948,582
660,0,0,0,292,2948,649
695,0,0,0,298,2961,727
648,0,0,0,285,2958,675
599,0,0,0,283,2945,591
557,0,0,0,277,2943,513
512,0,0,0,274,2940,431
463,0,0,0,275,2934,355
415,0,0,0,275,2924,267
370,0,0,0,276,2917,196
323,0,0,0,277,2919,111
278,0,0,0,281,2922,35
254,0,0,0,282,2908,0
223,0,0,0,259,2928,21
195,0,0,0,246,2956,52
167,0,0,0,234,2969,83
134,0,0,0,227,2987,111
109,0,0,0,222,3010,141
77,0,0,0,209,3011,170
46,0,0,0,210,3041,203
18,0,0,0,210,3057,229
0,0,0,0,227,3073,261
0,17,0,0,218,3161,237
0,46,0,0,212,3276,208
0,80,0,0,210,3367,175
0,116,0,0,216,3486,147
0,149,0,0,222,3588,118
0,184,0,0,224,3698,89
0,217,0,0,225,3794,59
0,253,0,0,233,3917,28
0,287,0,0,246,4004,6
0,292,0,0,249,4092,0
0,277,0,0,221,4120,0
0,255,0,0,191,4151,0
0,236,0,0,170,4169,0
0,219,0,0,141,4207,0
0,205,0,0,120,4227,0
0,186,0,0,100,4258,0
0,178,0,0,75,4292,0
0,162,0,0,61,4328,0
0,160,0,0,47,4351,0
0,144,0,0,41,4370,0
0,126,0,0,32,4378,0
0,106,0,0,30,4397,0
0,88,0,0,27,4407,0
0,68,0,0,27,4426,0
0,50,0,0,25,4432,0
0,36,0,0,27,4447,0
0,16,0,0,31,4459,0
0,0,0,0,36,4477,0
0,0,0,0,36,4487,16
0,18,0,0,31,4501,88
0,43,0,0,25,4513,161
0,70,0,0,20,4535,222
0,101,0,0,16,4540,296
0,127,0,0,10,4553,363
0,158,0,0,5,4568,438
0,188,0,0,0,4583,502
0,217,0,0,0,4590,576
0,245,0,0,0,4601,641
0,259,0,0,0,4640,568
0,280,0,0,0,4651,502
0,303,0,0,0,4678,435
0,322,0,0,0,4691,363
0,350,0,0,0,4712,292
0,371,0,0,0,4740,222
2,403,0,0,0,4765,154
4,426,0,0,0,4781,88
5,460,0,0,0,4804,16
5,464,0,0,0,4824,0
3,424,0,0,0,4834,0
1,392,0,0,0,4860,0
0,355,0,0,0,4869,0
0,325,0,0,2,4880,0
0,291,0,0,6,4894,0
0,264,0,0,8,4911,0
0,229,0,0,11,4933,0
0,201,0,0,17,4948,0
0,172,0,0,21,4950,0
0,153,0,0,17,4929,0
0,132,0,0,11,4898,0
