Co,O,Ni,Gd
0,1280,0,9925
0,1212,0,9933
0,1135,0,9923
0,1063,0,9915
0,998,0,9929
0,932,0,9934
0,863,0,9935
0,838,0,9948
0,917,0,9994
0,1042,0,10036
0,1156,0,10087
0,1293,0,10151
0,1422,0,10198
0,1540,0,10255
0,1680,0,10286
0,1812,0,10339
0,1950,0,10398
0,2096,0,10453
0,2173,0,10471
0,2028,0,10397
0,1918,0,10348
0,1784,0,10295
0,1657,0,10243
0,1539,0,10181
0,1421,0,10118
0,1293,0,10067
0,1181,0,10024
0,1062,0,9939
0,961,0,9909
0,917,0,9889
0,893,28,9908
0,888,67,9927
0,888,106,9962
0,877,151,9970
0,882,201,10015
0,885,244,10016
0,886,291,10051
0,885,338,10069
0,890,385,10116
0,902,432,10126
0,897,437,10129
0,804,388,10093
0,707,348,10068
0,623,309,10048
0,531,272,10018
0,437,234,9993
0,354,200,9965
0,258,158,9920
0,167,125,9921
0,84,93,9878
0,10,71,9853
0,16,71,9843
0,147,62,9876
0,283,56,9900
0,433,47,9933
0,589,39,9947
0,725,30,9972
0,875,22,10017
0,1028,15,10036
0,1167,7,10073
0,1324,3,10095
0,1483,5,10125
0,1492,4,10122
0,1430,10,10089
0,1368,20,10034
0,1321,34,9986
0,1282,45,9969
0,1231,58,9940
0,1191,71,9889
0,1146,85,9844
0,1106,98,9812
0,1071,113,9759
0,1054,124,9716
0,1046,122,9746
0,1040,109,9817
0,1057,95,9878
0,1074,83,9947
0,1097,68,10014
0,1121,56,10076
0,1138,43,10138
0,1174,30,10210
0,1207,18,10255
0,1238,6,10346
0,1279,0,10397
0,1267,0,10375
5,1248,4,10329
18,1224,13,10260
30,1232,22,10201
42,1226,32,10158
54,1231,42,10092
62,1232,51,10030
82,1233,68,9953
92,1238,79,9902
103,1248,98,9853
116,1294,117,9785
114,1242,108,9794
100,1151,93,9820
87,1057,78,9857
75,978,60,9860
61,896,50,9892
49,807,36,9922
38,730,28,9958
23,639,18,9978
12,548,8,10006
0,466,0,10025
0,429,0,10045
0,432,0,10097
0,473,0,10135
0,517,0,10189
0,566,0,10241
0,620,0,10284
0,668,0,10319
0,713,1,10378
0,766,3,10421
0,820,5,10463
0,869,7,10528
0,939,9,10569
0,877,7,10559
0,796,6,10538
0,710,4,10547
0,627,1,10532
0,546,0,10515
0,462,0,10522
0,375,0,10513
0,304,0,10506
0,218,0,10497
0,137,0,10495
0,88,0,10478
0,82,0,10456
0,90,1,10442
0,107,9,10431
0,121,16,10414
0,141,23,10389
0,159,29,10359
0,176,39,10351
0,194,44,10326
0,212,51,10310
0,233,58,10280
0,265,64,10267
0,248,59,10230
0,241,52,10193
0,248,45,10164
0,246,40,10117
0,250,30,10102
0,253,24,10067
0,257,16,10048
0,257,9,9989
0,266,3,9979
0,279,0,9954
0,310,0,9911
0,313,6,9987
0,345,34,10049
0,382,66,10113
0,422,100,10171
0,454,131,10242
0,492,168,10306
0,533,208,10384
0,568,236,10426
0,604,273,10510
0,651,307,10564
0,704,341,10636
0,636,310,10628
0,560,286,10626
0,511,258,10616
0,453,232,10611
0,390,201,10614
0,328,173,10604
0,277,147,10597
0,216,123,10611
0,160,98,10605
0,107,78,10587
0,81,68,10577
0,108,59,10500
0,137,51,10447
0,174,43,10382
0,216,36,10334
0,245,30,10256
0,285,22,10204
0,315,16,10136
0,360,8,10079
0,395,0,10014
0,443,0,9960
0,471,0,9907
0,437,0,9951
0,419,0,10000
0,402,1,10032
0,390,5,10070
0,371,14,10096
0,354,26,10141
0,339,34,10186
0,331,43,10215
0,313,56,10257
0,303,65,10305
0,295,70,10343
0,270,65,10306
0,251,62,10276
0,233,63,10249
0,220,58,10232
0,206,56,10200
0,190,56,10174
0,177,56,10156
0,163,56,10118
0,150,64,10090
0,140,73,10085
0,149,75,10069
0,132,64,10083
0,125,56,10110
0,117,67,10125
0,112,75,10162
0,108,82,10170
0,103,94,10203
0,92,103,10210
0,91,113,10236
0,83,122,10254
0,83,143,10278
0,88,149,10306
0,80,139,10290
0,79,132,10294
0,79,131,10287
0,79,128,10287
0,79,121,10289
0,77,120,10294
0,75,118,10291
0,78,115,10297
0,79,116,10305
0,88,128,10308
0,91,126,10289
0,84,112,10267
0,90,102,10262
0,92,106,10225
0,98,104,10217
0,114,106,10185
0,120,111,10168
0,130,116,10150
0,137,125,10127
0,152,130,10110
0,169,152,10093
0,171,159,10089
0,178,149,10123
0,183,143,10176
0,203,133,10219
0,220,128,10265
0,229,122,10290
0,247,122,10327
0,262,122,10375
0,285,120,10417
0,303,124,10451
0,331,134,10490
0,333,132,10504
0,297,126,10480
0,262,123,10493
0,225,145,10499
0,200,161,10484
0,165,193,10479
0,136,215,10464
0,107,234,10471
0,77,261,10444
0,52,296,10448
0,31,331,10423
0,35,333,10412
0,73,310,10363
0,115,300,10332
0,154,288,10288
0,199,279,10259
0,238,273,10226
0,281,257,10184
0,323,253,10144
0,365,249,10105
0,406,260,10052
0,450,268,10026
0,449,288,9986
0,438,316,9995
0,428,358,10008
0,417,409,10000
0,418,453,9996
0,409,503,9982
0,398,553,9992
0,398,601,9987
0,396,654,9974
0,391,695,9983
0,398,755,9984
0,395,750,9942
18,377,764,9877
36,361,803,9825
53,341,839,9738
72,322,881,9699
93,298,943,9630
113,286,977,9569
131,269,1019,9515
152,253,1069,9436
172,232,1123,9384
193,220,1185,9336
184,206,1148,9338
162,188,1089,9367
146,164,1057,9420
124,144,1023,9438
107,120,984,9488
87,99,959,9522
68,78,932,9559
45,58,902,9613
28,36,878,9656
10,14,877,9670
0,0,908,9720
0,0,865,9715
0,0,809,9682
0,0,765,9679
0,0,715,9646
0,0,670,9630
0,0,627,9608
0,0,588,9589
0,0,545,9566
0,0,508,9546
0,0,475,9516
0,0,474,9508
0,33,453,9512
0,126,498,9529
0,225,560,9545
0,317,615,9546
0,418,669,9558
0,521,751,9566
0,623,818,9587
0,723,884,9595
0,830,956,9613
0,928,1031,9644
0,1030,1129,9632
0,1029,1135,9626
0,1029,1151,9595
0,1026,1173,9581
0,1018,1230,9571
0,1005,1262,9550
0,998,1304,9518
0,994,1341,9480
0,985,1385,9468
0,987,1440,9457
0,987,1484,9418
0,1015,1571,9404
0,946,1545,9378
0,881,1573,9361
0,809,1629,9335
0,753,1676,9296
0,694,1720,9269
0,634,1769,9249
0,575,1818,9226
0,522,1866,9197
0,459,1930,9162
0,408,1991,9149
0,382,2058,9133
0,348,1989,9105
0,318,1899,9082
