Co,Si,Pt,O,Ni,Gd,Al
460,0,0,27,1461,2399,1550
662,0,0,23,1388,2424,1660
849,0,0,20,1327,2451,1769
1065,0,6,18,1261,2466,1879
1271,0,14,15,1213,2501,2003
1488,0,20,15,1141,2526,2121
1700,0,24,15,1076,2552,2236
1887,0,32,12,1019,2577,2353
2101,0,41,11,951,2600,2486
2322,0,48,14,892,2618,2615
2528,0,56,17,868,2649,2765
2330,0,48,15,862,2719,2683
2133,0,44,22,872,2791,2631
1910,0,34,34,903,2861,2570
1690,0,28,47,940,2938,2492
1466,0,20,62,960,3013,2440
1249,0,14,74,995,3086,2383
1022,0,6,86,1033,3173,2329
831,0,2,103,1050,3229,2280
607,0,0,119,1075,3316,2224
395,0,0,137,1108,3390,2165
291,0,0,150,1148,3466,2206
256,0,0,135,1051,3484,2166
238,0,0,128,973,3505,2147
205,0,0,124,896,3530,2126
177,0,0,119,808,3558,2100
147,0,0,115,714,3584,2076
118,0,0,113,638,3608,2062
91,0,0,112,564,3625,2044
67,0,0,110,476,3651,2025
35,0,0,112,404,3676,2004
6,0,0,117,343,3701,1985
2,0,0,123,336,3719,1972
166,0,0,129,343,3770,1876
327,0,0,149,367,3803,1821
521,0,0,177,399,3843,1753
715,0,0,217,449,3882,1689
897,0,0,248,482,3937,1622
1088,0,0,279,523,3971,1568
1252,0,0,318,559,4008,1506
1441,0,0,354,601,4059,1453
1626,0,0,381,640,4091,1388
1822,0,0,420,698,4129,1340
1910,0,0,438,722,4171,1281
1915,0,0,428,696,4203,1164
1938,0,0,434,669,4242,1032
1943,0,0,439,645,4265,907
1963,0,0,448,622,4302,787
1975,0,0,462,596,4350,663
1984,0,0,472,587,4374,554
2001,0,0,490,564,4408,431
2012,0,0,503,554,4435,319
2038,0,0,518,546,4462,202
2061,0,0,537,531,4494,106
2009,0,0,529,524,4547,86
1866,0,0,494,508,4597,89
1706,0,0,462,502,4639,98
1553,0,0,434,500,4689,104
1389,0,0,406,492,4738,122
1231,0,0,373,473,4780,138
1082,0,0,353,473,4829,153
930,0,0,323,485,4886,169
775,0,0,297,484,4934,189
616,0,0,287,485,4986,206
478,0,0,283,507,5044,233
425,0,0,270,504,5047,225
429,0,0,258,484,5062,214
441,0,0,250,466,5071,199
457,0,0,250,441,5081,186
464,0,0,244,425,5091,172
472,0,0,243,408,5096,163
483,0,0,243,388,5101,154
496,0,0,238,372,5119,144
507,0,0,243,356,5129,137
524,0,0,251,342,5133,127
542,0,0,271,328,5140,137
528,0,0,270,307,5159,148
520,0,0,285,301,5177,186
519,0,0,319,305,5193,225
504,0,0,350,313,5215,261
504,0,0,384,314,5224,300
497,0,0,420,322,5253,334
495,0,0,443,330,5261,374
489,0,0,480,333,5290,411
488,0,0,512,341,5306,448
484,0,0,546,347,5314,492
503,0,0,596,382,5339,545
489,0,0,571,344,5360,490
